id	kind	label	piece_hex	visible_piece
0	special	<unk>		<unk>
1	special	<bos>		<bos>
2	special	<eos>		<eos>
3	special	<pad>		<pad>
4	piece	piece_4	3c307830303e	<0x00>
5	piece	piece_5	3c307830313e	<0x01>
6	piece	piece_6	3c307830323e	<0x02>
7	piece	piece_7	3c307830333e	<0x03>
8	piece	piece_8	3c307830343e	<0x04>
9	piece	piece_9	3c307830353e	<0x05>
10	piece	piece_10	3c307830363e	<0x06>
11	piece	piece_11	3c307830373e	<0x07>
12	piece	piece_12	3c307830383e	<0x08>
13	piece	piece_13	3c307830393e	<0x09>
14	piece	piece_14	3c307830413e	<0x0A>
15	piece	piece_15	3c307830423e	<0x0B>
16	piece	piece_16	3c307830433e	<0x0C>
17	piece	piece_17	3c307830443e	<0x0D>
18	piece	piece_18	3c307830453e	<0x0E>
19	piece	piece_19	3c307830463e	<0x0F>
20	piece	piece_20	3c307831303e	<0x10>
21	piece	piece_21	3c307831313e	<0x11>
22	piece	piece_22	3c307831323e	<0x12>
23	piece	piece_23	3c307831333e	<0x13>
24	piece	piece_24	3c307831343e	<0x14>
25	piece	piece_25	3c307831353e	<0x15>
26	piece	piece_26	3c307831363e	<0x16>
27	piece	piece_27	3c307831373e	<0x17>
28	piece	piece_28	3c307831383e	<0x18>
29	piece	piece_29	3c307831393e	<0x19>
30	piece	piece_30	3c307831413e	<0x1A>
31	piece	piece_31	3c307831423e	<0x1B>
32	piece	piece_32	3c307831433e	<0x1C>
33	piece	piece_33	3c307831443e	<0x1D>
34	piece	piece_34	3c307831453e	<0x1E>
35	piece	piece_35	3c307831463e	<0x1F>
36	piece	piece_36	3c307832303e	<0x20>
37	piece	piece_37	3c307832313e	<0x21>
38	piece	piece_38	3c307832323e	<0x22>
39	piece	piece_39	3c307832333e	<0x23>
40	piece	piece_40	3c307832343e	<0x24>
41	piece	piece_41	3c307832353e	<0x25>
42	piece	piece_42	3c307832363e	<0x26>
43	piece	piece_43	3c307832373e	<0x27>
44	piece	piece_44	3c307832383e	<0x28>
45	piece	piece_45	3c307832393e	<0x29>
46	piece	piece_46	3c307832413e	<0x2A>
47	piece	piece_47	3c307832423e	<0x2B>
48	piece	piece_48	3c307832433e	<0x2C>
49	piece	piece_49	3c307832443e	<0x2D>
50	piece	piece_50	3c307832453e	<0x2E>
51	piece	piece_51	3c307832463e	<0x2F>
52	piece	piece_52	3c307833303e	<0x30>
53	piece	piece_53	3c307833313e	<0x31>
54	piece	piece_54	3c307833323e	<0x32>
55	piece	piece_55	3c307833333e	<0x33>
56	piece	piece_56	3c307833343e	<0x34>
57	piece	piece_57	3c307833353e	<0x35>
58	piece	piece_58	3c307833363e	<0x36>
59	piece	piece_59	3c307833373e	<0x37>
60	piece	piece_60	3c307833383e	<0x38>
61	piece	piece_61	3c307833393e	<0x39>
62	piece	piece_62	3c307833413e	<0x3A>
63	piece	piece_63	3c307833423e	<0x3B>
64	piece	piece_64	3c307833433e	<0x3C>
65	piece	piece_65	3c307833443e	<0x3D>
66	piece	piece_66	3c307833453e	<0x3E>
67	piece	piece_67	3c307833463e	<0x3F>
68	piece	piece_68	3c307834303e	<0x40>
69	piece	piece_69	3c307834313e	<0x41>
70	piece	piece_70	3c307834323e	<0x42>
71	piece	piece_71	3c307834333e	<0x43>
72	piece	piece_72	3c307834343e	<0x44>
73	piece	piece_73	3c307834353e	<0x45>
74	piece	piece_74	3c307834363e	<0x46>
75	piece	piece_75	3c307834373e	<0x47>
76	piece	piece_76	3c307834383e	<0x48>
77	piece	piece_77	3c307834393e	<0x49>
78	piece	piece_78	3c307834413e	<0x4A>
79	piece	piece_79	3c307834423e	<0x4B>
80	piece	piece_80	3c307834433e	<0x4C>
81	piece	piece_81	3c307834443e	<0x4D>
82	piece	piece_82	3c307834453e	<0x4E>
83	piece	piece_83	3c307834463e	<0x4F>
84	piece	piece_84	3c307835303e	<0x50>
85	piece	piece_85	3c307835313e	<0x51>
86	piece	piece_86	3c307835323e	<0x52>
87	piece	piece_87	3c307835333e	<0x53>
88	piece	piece_88	3c307835343e	<0x54>
89	piece	piece_89	3c307835353e	<0x55>
90	piece	piece_90	3c307835363e	<0x56>
91	piece	piece_91	3c307835373e	<0x57>
92	piece	piece_92	3c307835383e	<0x58>
93	piece	piece_93	3c307835393e	<0x59>
94	piece	piece_94	3c307835413e	<0x5A>
95	piece	piece_95	3c307835423e	<0x5B>
96	piece	piece_96	3c307835433e	<0x5C>
97	piece	piece_97	3c307835443e	<0x5D>
98	piece	piece_98	3c307835453e	<0x5E>
99	piece	piece_99	3c307835463e	<0x5F>
100	piece	piece_100	3c307836303e	<0x60>
101	piece	piece_101	3c307836313e	<0x61>
102	piece	piece_102	3c307836323e	<0x62>
103	piece	piece_103	3c307836333e	<0x63>
104	piece	piece_104	3c307836343e	<0x64>
105	piece	piece_105	3c307836353e	<0x65>
106	piece	piece_106	3c307836363e	<0x66>
107	piece	piece_107	3c307836373e	<0x67>
108	piece	piece_108	3c307836383e	<0x68>
109	piece	piece_109	3c307836393e	<0x69>
110	piece	piece_110	3c307836413e	<0x6A>
111	piece	piece_111	3c307836423e	<0x6B>
112	piece	piece_112	3c307836433e	<0x6C>
113	piece	piece_113	3c307836443e	<0x6D>
114	piece	piece_114	3c307836453e	<0x6E>
115	piece	piece_115	3c307836463e	<0x6F>
116	piece	piece_116	3c307837303e	<0x70>
117	piece	piece_117	3c307837313e	<0x71>
118	piece	piece_118	3c307837323e	<0x72>
119	piece	piece_119	3c307837333e	<0x73>
120	piece	piece_120	3c307837343e	<0x74>
121	piece	piece_121	3c307837353e	<0x75>
122	piece	piece_122	3c307837363e	<0x76>
123	piece	piece_123	3c307837373e	<0x77>
124	piece	piece_124	3c307837383e	<0x78>
125	piece	piece_125	3c307837393e	<0x79>
126	piece	piece_126	3c307837413e	<0x7A>
127	piece	piece_127	3c307837423e	<0x7B>
128	piece	piece_128	3c307837433e	<0x7C>
129	piece	piece_129	3c307837443e	<0x7D>
130	piece	piece_130	3c307837453e	<0x7E>
131	piece	piece_131	3c307837463e	<0x7F>
132	piece	piece_132	3c307838303e	<0x80>
133	piece	piece_133	3c307838313e	<0x81>
134	piece	piece_134	3c307838323e	<0x82>
135	piece	piece_135	3c307838333e	<0x83>
136	piece	piece_136	3c307838343e	<0x84>
